hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[32, 32]",relu,0.05,5e-05,0.0,1e-05,64,False,3000,1.1092360191692208
"[64, 64]",relu,0.03,5e-05,0.9,1e-05,32,False,3000,1.1105075822705963
"[32, 32]",relu,0.03,5e-05,0.0,1e-05,64,False,3000,1.112304735216449
"[32, 32]",relu,0.01,5e-05,0.7,1e-05,32,True,3000,1.112736131843537
"[64, 64]",relu,0.01,5e-05,0.7,1e-05,64,True,3000,1.113901901837005
"[32, 32]",relu,0.03,5e-05,0.0,1e-05,32,True,3000,1.114886353737158
"[32, 32]",relu,0.03,5e-05,0.0,1e-05,64,True,3000,1.1162450467932152
"[64, 64]",relu,0.01,5e-05,0.9,1e-05,64,True,3000,1.1169827490960194
"[64, 64]",relu,0.03,5e-05,0.0,1e-05,64,False,3000,1.1186737379416394
"[64, 64]",relu,0.01,5e-05,0.7,1e-05,32,False,3000,1.1189199996230843
"[64, 64]",relu,0.05,5e-05,0.9,1e-05,64,True,3000,1.119230420243494
"[64, 64]",relu,0.05,5e-05,0.0,1e-05,32,True,3000,1.11964707461531
"[32, 32]",relu,0.03,5e-05,0.9,1e-05,32,False,3000,1.1208446318525978
"[64, 64]",relu,0.01,5e-05,0.7,1e-05,32,True,3000,1.1215213107186333
"[64, 64]",relu,0.03,0.0001,0.0,1e-05,64,True,3000,1.121581945472841
"[32, 32]",relu,0.05,5e-05,0.7,1e-05,32,False,3000,1.1216199713735582
"[32, 32]",relu,0.1,5e-05,0.0,1e-05,32,True,3000,1.1234965695338837
"[64, 64]",relu,0.05,5e-05,0.7,1e-05,64,False,3000,1.124321191082975
"[32, 32]",relu,0.1,0.0001,0.0,1e-05,32,True,3000,1.12459758416533
"[64, 64]",relu,0.01,5e-05,0.9,1e-05,32,False,3000,1.125541201195526
"[32, 32]",relu,0.1,0.0001,0.9,1e-05,64,False,3000,1.1264449773004714
"[64, 64]",relu,0.003,0.0,0.7,1e-05,32,True,3000,1.1265525034427724
"[32, 32]",relu,0.01,5e-05,0.9,1e-05,32,False,3000,1.127984098068212
"[64, 64]",relu,0.03,0.0001,0.0,1e-05,64,False,3000,1.1303278943023938
"[64, 64]",relu,0.01,5e-05,0.9,1e-05,64,False,3000,1.1312917109874436
"[32, 32]",relu,0.03,0.0001,0.0,1e-05,64,True,3000,1.1321458100678676
"[32, 32]",relu,0.003,0.0,0.7,1e-05,32,False,3000,1.1328288475885164
"[32, 32]",relu,0.01,5e-05,0.9,1e-05,32,True,3000,1.1330936389704604
"[32, 32]",relu,0.01,0.0,0.7,1e-05,64,False,3000,1.1330969770487918
